repo_name,file_id,commit_count,churn_added,churn_deleted,total_churn,file_age_days,days_since_last_change,recent_7d_commits,recent_30d_commits,late_night_commits,late_night_ratio,weekend_commits,weekend_ratio,active_days,avg_commits_per_active_day,max_commits_one_day,burstiness_score,bug_fix_commits,bug_label
activestate-code,data/repos/activestate-code/recipes/Java/577148_Colorcycling_PlasmFractal/recipe-577148.java,1,120,0,120,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Java/577150_Curve_fitting_to_N_random_points/recipe-577150.java,1,92,0,92,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Java/577151_Gravity_Simulation_Applet/recipe-577151.java,1,125,0,125,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Java/577152_Gravity_SimulatiFractal/recipe-577152.java,1,162,0,162,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Java/577158_Multithreaded_Mandelbrot_Fractal/recipe-577158.java,1,117,0,117,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Java/577311_Snowflake_Fractal_Applet_using_Cellular/recipe-577311.java,1,72,0,72,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Java/577312_Number_Words_Converter_100__One/recipe-577312.java,1,31,0,31,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Java/577313_RomanNumeral_Integers/recipe-577313.java,1,46,0,46,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Java/577314_Sudoku_Solver_Bruteforce/recipe-577314.java,1,53,0,53,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Java/577315_Next_Lexographic_Word_/recipe-577315.java,1,19,0,19,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Java/577347_C_Image_Resize/recipe-577347.java,1,16,0,16,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Java/577348_C_Surface_Normal/recipe-577348.java,1,10,0,10,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Java/577516_C_StringReplace_char/recipe-577516.java,1,29,0,29,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Java/577576_Langtons_Ant_Automaton/recipe-577576.java,1,119,0,119,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Java/577765_jeesoos_coding/recipe-577765.java,1,366,0,366,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Java/578461_Ali/recipe-578461.java,1,101,0,101,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/576542_Password_Grabber_Javascript/recipe-576542.js,1,11,0,11,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/576839_Javascript_Namespaces/recipe-576839.js,1,164,0,164,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/576861_The_Matrix_Effect/recipe-576861.js,1,175,0,175,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/576955_Incrementing_counter/recipe-576955.js,1,22,0,22,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577007_Komodo_JS_Macro__select_current_word/recipe-577007.js,1,6,0,6,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577012_Komodo_JS_Macro__show_custom_code/recipe-577012.js,1,7,0,7,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577013_Komodo_JS_Macro__show_svn_blame_current_editor/recipe-577013.js,1,18,0,18,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577085_Komodo_macro_duplicating_current_file__Komodo_5_/recipe-577085.js,1,33,0,33,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577100_Komodo_JS_Macro__move_current_line/recipe-577100.js,1,14,0,14,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577101_Komodo_JS_Macro__move_current_line_down/recipe-577101.js,1,23,0,23,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577143_Random_URL/recipe-577143.js,1,49,0,49,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577163_Komodo_JS_Macro__increase_number_code/recipe-577163.js,1,11,0,11,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577164_Komodo_JS_Macro__force_focus_back_oneditor/recipe-577164.js,1,19,0,19,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577168_Komodo_Snippet_Wrapper_macro/recipe-577168.js,1,14,0,14,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577169_Komodo_JS_Macro__Search_word_cursor_no_need/recipe-577169.js,1,21,0,21,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577170_Komodo_JS_Macro__Submit_text/recipe-577170.js,1,139,0,139,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577192_Komodo_Macro__Clear_all_Most_Recent_Used/recipe-577192.js,1,20,0,20,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577193_Komodo_Macro__Copy_clipboard_code_selectiHTML/recipe-577193.js,1,52,0,52,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577246_Go_to_nth_character/recipe-577246.js,1,34,0,34,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577247_Sort_file_with_unique_option/recipe-577247.js,1,20,0,20,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577272_Komodo_Macro_Show_all_Bookmarks/recipe-577272.js,1,64,0,64,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577277_Mandelbrot_Fractal_using_HTML5/recipe-577277.js,1,64,0,64,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577294_Sierpinski_Triangle_Fractal_using_HTML5/recipe-577294.js,1,73,0,73,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577306_Komodo_JS_Macro__insert_relative_path_current/recipe-577306.js,1,20,0,20,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577310_Using_getter_onetime_calculatiJavaScript_object_/recipe-577310.js,1,14,0,14,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577337_Javascript__JSParser_only/recipe-577337.js,1,16,0,16,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/JavaScript/577351_nodejs_quicklog_method_log/recipe-577351.js,1,8,0,8,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
